segment_id,total_score,level_text,accident_rate_score,road_shape_score,road_scale_score,intersection_score,traffic_volume_score,explanation,detail_description,detail_source,detail_source_ref,detail_updated_at,computed_at
SEG_000001,29.8,쉬움,0.0,65.0,70.0,0.0,25.0,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000002,29.8,쉬움,0.0,65.0,70.0,0.0,25.0,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000003,37.7,보통,30.1,66.5,72.9,0.0,23.5,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점). 인근에 사고 이력이 있는 지점이 있습니다(사고율점수 35점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000004,29.8,쉬움,0.0,65.0,70.0,0.0,25.0,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000005,44.8,보통,0.0,65.0,70.0,100.0,25.0,"주거지역 도로, 좁은 도로, 복잡한 교차로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 주변에 신호등이나 횡단보도가 많아 교차로가 복잡합니다(교차로점수 100점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000006,45.9,보통,0.0,69.5,78.9,100.0,20.5,"주거지역 도로, 좁은 도로, 복잡한 교차로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 주변에 신호등이나 횡단보도가 많아 교차로가 복잡합니다(교차로점수 100점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000007,42.9,보통,0.0,66.0,72.0,85.4,24.0,"주거지역 도로, 좁은 도로, 복잡한 교차로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 주변에 신호등이나 횡단보도가 많아 교차로가 복잡합니다(교차로점수 90점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000008,30.1,보통,0.0,66.3,72.5,0.0,23.7,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000009,33.3,보통,0.0,56.5,57.9,25.0,38.4,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000010,32.2,보통,0.0,70.0,80.0,7.9,20.0,"서비스 도로, 좁은 도로",이 구간은 서비스 도로(주차장 진입로 등)입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 80점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 20점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000011,30.5,보통,0.0,68.0,76.0,0.0,22.0,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000012,39.1,보통,0.0,66.7,73.3,59.5,23.3,"주거지역 도로, 좁은 도로, 복잡한 교차로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 주변에 신호등이나 횡단보도가 많아 교차로가 복잡합니다(교차로점수 60점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000013,33.5,보통,0.0,68.0,76.1,20.0,22.0,"주거지역 도로, 좁은 도로",이 구간은 주거지역 도로입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 70점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 25점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000014,46.0,보통,0.0,70.0,80.0,100.0,20.0,"서비스 도로, 좁은 도로, 복잡한 교차로",이 구간은 서비스 도로(주차장 진입로 등)입니다. 도로 폭이 좁아 차선 변경이나 회피가 어려울 수 있습니다(규모점수 80점). 주변에 신호등이나 횡단보도가 많아 교차로가 복잡합니다(교차로점수 100점). 교통량이 적어 여유롭게 주행할 수 있습니다(교통량점수 20점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
SEG_000015,37.5,보통,0.0,40.0,30.0,50.0,70.0,"주간선도로, 넓은 도로, 복잡한 교차로, 교통량 많음",이 구간은 주간선도로(왕복 4차선 이상)입니다. 도로 폭이 넓어 주행이 비교적 수월합니다(규모점수 30점). 주변에 신호등이나 횡단보도가 많아 교차로가 복잡합니다(교차로점수 50점). 교통량이 많은 구간으로 혼잡이 예상됩니다(교통량점수 70점).,LABELING_SCRIPT,labeling_difficulty.py,2026-02-16 01:31:58,2026-04-25 13:33:48
